Line Item ID,Chk#,Item Description,Sales Category,Regular Price,Qty,Line Total,Comp,Void,Fire Time
li_000066,chk_00018,Turkey Club,food,18,1,18,0,0,2026-01-31T19:06:00.000Z
li_000067,chk_00018,NY Strip Steak,food,45,1,45,0,0,2026-01-31T19:09:00.000Z
li_000068,chk_00019,Cheese Pizza,food,16,1,16,0,0,2025-12-19T07:35:00.000Z
li_000069,chk_00019,Shrimp Scampi,food,28,1,28,0,0,2025-12-19T07:38:00.000Z
li_000070,chk_00019,Michelob Ultra,beverage,7,2,14,0,0,2025-12-19T07:41:00.000Z
li_000071,chk_00019,French Onion Soup,food,12,1,12,0,0,2025-12-19T07:44:00.000Z
li_000072,chk_00020,Crab Cake,food,28,1,28,0,0,2026-02-27T14:44:00.000Z
li_000073,chk_00020,Old Fashioned,beverage,15,1,15,0,0,2026-02-27T14:47:00.000Z
li_000074,chk_00020,Caprese Salad,food,15,1,15,0,0,2026-02-27T14:50:00.000Z
li_000075,chk_00020,Shrimp Scampi,food,28,1,28,0,0,2026-02-27T14:53:00.000Z
li_000076,chk_00020,Coors Light Draft,beverage,7,2,14,0,0,2026-02-27T14:56:00.000Z
li_000077,chk_00020,Wagyu Burger,food,21,1,21,0,0,2026-02-27T14:59:00.000Z
li_000078,chk_00021,Old Fashioned,beverage,15,1,15,0,0,2026-01-14T16:16:00.000Z
li_000079,chk_00021,Gin and Tonic,beverage,12,2,24,0,0,2026-01-14T16:19:00.000Z
li_000080,chk_00022,Mimosa,beverage,12,2,24,0,0,2026-01-01T10:25:00.000Z
li_000081,chk_00022,Chicken Parmigiana,food,24,1,24,0,0,2026-01-01T10:28:00.000Z
li_000082,chk_00022,NY Strip Steak,food,45,1,45,0,0,2026-01-01T10:31:00.000Z
li_000083,chk_00022,Margarita,beverage,14,1,14,0,0,2026-01-01T10:34:00.000Z
li_000084,chk_00022,Braised Short Ribs,food,34,1,34,0,0,2026-01-01T10:37:00.000Z
li_000085,chk_00023,Pulled Pork Sliders,food,17,1,17,0,0,2026-01-31T19:25:00.000Z
li_000086,chk_00023,Grilled Chicken,food,19,1,19,1,0,2026-01-31T19:28:00.000Z
li_000087,chk_00023,Pulled Pork Sliders,food,17,1,17,0,0,2026-01-31T19:31:00.000Z
li_000088,chk_00024,Club Sandwich,food,18,1,18,0,0,2025-12-19T12:35:00.000Z
li_000089,chk_00024,Gin and Tonic,beverage,12,2,24,0,0,2025-12-19T12:38:00.000Z
li_000090,chk_00024,Aperol Spritz,beverage,14,1,14,0,0,2025-12-19T12:41:00.000Z
li_000091,chk_00024,Turkey Club,food,18,1,18,0,0,2025-12-19T12:44:00.000Z
li_000092,chk_00025,Turkey Club,food,18,1,18,1,0,2026-02-26T14:06:00.000Z
li_000093,chk_00025,Pulled Pork Sliders,food,17,1,17,0,0,2026-02-26T14:09:00.000Z
li_000094,chk_00025,Braised Short Ribs,food,34,1,34,0,0,2026-02-26T14:12:00.000Z
li_000095,chk_00025,Braised Short Ribs,food,34,1,34,0,0,2026-02-26T14:15:00.000Z
li_000096,chk_00025,Braised Short Ribs,food,34,1,34,0,0,2026-02-26T14:18:00.000Z
li_000097,chk_00025,Caesar Salad,food,16.5,1,16.5,0,0,2026-02-26T14:21:00.000Z
li_000098,chk_00026,Mushroom Risotto,food,26,1,26,0,0,2026-01-14T08:16:00.000Z
li_000099,chk_00026,Sauvignon Blanc,beverage,13,1,13,0,0,2026-01-14T08:19:00.000Z
li_000100,chk_00027,Pulled Pork Sliders,food,17,1,17,0,0,2026-01-01T10:47:00.000Z
li_000101,chk_00027,Iced Tea,beverage,4,1,4,0,0,2026-01-01T10:50:00.000Z
li_000102,chk_00027,Espresso,beverage,5,2,10,0,0,2026-01-01T10:53:00.000Z
li_000103,chk_00027,Braised Short Ribs,food,34,1,34,0,0,2026-01-01T10:56:00.000Z
li_000104,chk_00027,Iced Tea,beverage,4,1,4,0,0,2026-01-01T10:59:00.000Z
li_000105,chk_00028,Fish Tacos,food,20,1,20,0,0,2026-02-09T17:57:00.000Z
li_000106,chk_00028,Old Fashioned,beverage,15,1,15,0,0,2026-02-09T18:00:00.000Z
li_000107,chk_00028,Cobb Salad,food,19,1,19,0,0,2026-02-09T18:03:00.000Z
li_000108,chk_00028,Coors Light Draft,beverage,7,2,14,0,0,2026-02-09T18:06:00.000Z
li_000109,chk_00028,Wagyu Burger,food,21,1,21,0,0,2026-02-09T18:09:00.000Z
li_000110,chk_00028,Coors Light Draft,beverage,7,1,7,0,0,2026-02-09T18:12:00.000Z
li_000111,chk_00029,French Onion Soup,food,12,1,12,0,0,2026-01-27T19:28:00.000Z
li_000112,chk_00029,Caesar Salad,food,16.5,1,16.5,0,0,2026-01-27T19:31:00.000Z
li_000113,chk_00029,Crab Cake,food,28,1,28,0,0,2026-01-27T19:34:00.000Z
li_000114,chk_00030,Fish Tacos,food,20,1,20,0,0,2026-03-07T13:38:00.000Z
li_000115,chk_00030,Sparkling Water,beverage,4,2,8,0,0,2026-03-07T13:41:00.000Z
li_000116,chk_00030,Paloma,beverage,13,2,26,0,0,2026-03-07T13:44:00.000Z
li_000117,chk_00030,Garden Salad,food,12,1,12,0,0,2026-03-07T13:47:00.000Z
li_000118,chk_00031,Loaded Nachos,food,17,1,17,0,1,2025-12-31T10:47:00.000Z
li_000119,chk_00031,Lobster Tail,food,48,1,48,0,0,2025-12-31T10:50:00.000Z
li_000120,chk_00031,Charcuterie Board,food,24,1,24,0,0,2025-12-31T10:53:00.000Z
li_000121,chk_00031,Cabernet Glass,beverage,16,1,16,0,0,2025-12-31T10:56:00.000Z
li_000122,chk_00031,Old Fashioned,beverage,15,2,30,0,0,2025-12-31T10:59:00.000Z
li_000123,chk_00032,Chicken Parmigiana,food,24,1,24,0,0,2026-02-09T17:57:00.000Z
li_000124,chk_00032,Loaded Nachos,food,17,1,17,0,0,2026-02-09T18:00:00.000Z
li_000125,chk_00033,Crab Cake,food,28,1,28,0,0,2026-01-27T19:28:00.000Z
li_000126,chk_00033,Cabernet Glass,beverage,16,2,32,0,0,2026-01-27T19:31:00.000Z
li_000127,chk_00033,Ranch Water,beverage,12,2,24,0,0,2026-01-27T19:34:00.000Z
li_000128,chk_00034,Espresso,beverage,5,2,10,0,1,2026-03-07T13:38:00.000Z
li_000129,chk_00034,Corona,beverage,8,2,16,0,0,2026-03-07T13:41:00.000Z
li_000130,chk_00034,Chicken Parmigiana,food,24,1,24,0,0,2026-03-07T13:44:00.000Z
li_000131,chk_00034,Loaded Nachos,food,17,1,17,0,0,2026-03-07T13:47:00.000Z
li_000132,chk_00034,Filet Mignon,food,52,1,52,0,0,2026-03-07T13:50:00.000Z
li_000133,chk_00034,Sparkling Water,beverage,4,2,8,0,0,2026-03-07T13:53:00.000Z
li_000134,chk_00035,Paloma,beverage,13,2,26,0,0,2026-02-22T15:10:00.000Z
li_000135,chk_00036,Wedge Salad,food,14,1,14,0,0,2026-01-09T08:19:00.000Z
li_000136,chk_00036,Chardonnay Glass,beverage,14,1,14,0,0,2026-01-09T08:22:00.000Z
li_000137,chk_00036,Turkey Club,food,18,1,18,0,0,2026-01-09T08:25:00.000Z
li_000138,chk_00036,Sparkling Water,beverage,4,2,8,0,0,2026-01-09T08:28:00.000Z
li_000139,chk_00037,Corona,beverage,8,2,16,0,0,2026-01-22T15:10:00.000Z
li_000140,chk_00038,Hot Dog,food,9,1,9,0,0,2026-01-09T08:19:00.000Z
li_000141,chk_00038,Gin and Tonic,beverage,12,1,12,0,0,2026-01-09T08:22:00.000Z
li_000142,chk_00038,Paloma,beverage,13,1,13,0,0,2026-01-09T08:25:00.000Z
li_000143,chk_00038,Club Sandwich,food,18,1,18,0,0,2026-01-09T08:28:00.000Z
li_000144,chk_00039,Chardonnay Glass,beverage,14,1,14,0,0,2026-02-18T11:51:00.000Z
li_000145,chk_00039,Modelo Draft,beverage,8,2,16,0,0,2026-02-18T11:54:00.000Z
li_000146,chk_00039,Espresso,beverage,5,2,10,0,0,2026-02-18T11:57:00.000Z
li_000147,chk_00039,Aperol Spritz,beverage,14,1,14,0,0,2026-02-18T12:00:00.000Z
li_000148,chk_00039,Mushroom Risotto,food,26,1,26,0,0,2026-02-18T12:03:00.000Z
li_000149,chk_00040,Cappuccino,beverage,6,1,6,0,0,2026-02-04T19:00:00.000Z
li_000150,chk_00040,Grilled Chicken,food,19,1,19,0,0,2026-02-04T19:03:00.000Z
li_000151,chk_00041,Caesar Salad,food,16.5,1,16.5,0,0,2025-12-23T20:32:00.000Z
li_000152,chk_00041,Arnold Palmer,beverage,5,1,5,0,0,2025-12-23T20:35:00.000Z
li_000153,chk_00041,Braised Short Ribs,food,34,1,34,0,0,2025-12-23T20:38:00.000Z
li_000154,chk_00042,Cobb Salad,food,19,1,19,0,1,2026-03-03T14:41:00.000Z
li_000155,chk_00042,Mimosa,beverage,12,1,12,0,0,2026-03-03T14:44:00.000Z
li_000156,chk_00042,Old Fashioned,beverage,15,2,30,0,0,2026-03-03T14:47:00.000Z
li_000157,chk_00042,Chardonnay Glass,beverage,14,1,14,0,0,2026-03-03T14:50:00.000Z
li_000158,chk_00042,Tuna Tartare,food,22,1,22,0,0,2026-03-03T14:53:00.000Z
li_000159,chk_00042,Pulled Pork Sliders,food,17,1,17,0,0,2026-03-03T14:56:00.000Z
li_000160,chk_00043,Cobb Salad,food,19,1,19,0,0,2026-02-17T16:13:00.000Z
li_000161,chk_00044,Wings Basket,food,16,1,16,0,0,2026-01-05T09:22:00.000Z
li_000162,chk_00044,Club Sandwich,food,18,1,18,0,0,2026-01-05T09:25:00.000Z
li_000163,chk_00044,NY Strip Steak,food,45,1,45,0,0,2026-01-05T09:28:00.000Z
li_000164,chk_00044,Wings Basket,food,16,1,16,0,0,2026-01-05T09:31:00.000Z
li_000165,chk_00044,Chicken Parmigiana,food,24,1,24,0,0,2026-01-05T09:34:00.000Z
li_000166,chk_00045,Corona,beverage,8,2,16,0,0,2025-12-23T11:54:00.000Z
li_000167,chk_00045,Loaded Nachos,food,17,1,17,0,0,2025-12-23T11:57:00.000Z
li_000168,chk_00045,Moscow Mule,beverage,13,1,13,0,0,2025-12-23T12:00:00.000Z
li_000169,chk_00045,Lobster Tail,food,48,1,48,0,0,2025-12-23T12:03:00.000Z
li_000170,chk_00045,Mimosa,beverage,12,2,24,0,0,2025-12-23T12:06:00.000Z
li_000171,chk_00045,Bloody Mary,beverage,14,2,28,0,0,2025-12-23T12:09:00.000Z
li_000172,chk_00046,Whiskey Sour,beverage,14,1,14,0,0,2026-01-31T19:03:00.000Z
li_000173,chk_00046,Mimosa,beverage,12,2,24,0,0,2026-01-31T19:06:00.000Z
li_000174,chk_00046,Moscow Mule,beverage,13,1,13,0,0,2026-01-31T19:09:00.000Z
li_000175,chk_00047,Tuna Tartare,food,22,1,22,0,0,2025-12-23T11:32:00.000Z
li_000176,chk_00047,Sparkling Water,beverage,4,1,4,0,0,2025-12-23T11:35:00.000Z
li_000177,chk_00047,NY Strip Steak,food,45,1,45,0,0,2025-12-23T11:38:00.000Z
li_000178,chk_00048,Grilled Chicken,food,19,1,19,0,0,2026-03-02T14:03:00.000Z
li_000179,chk_00048,Cobb Salad,food,19,1,19,0,0,2026-03-02T14:06:00.000Z
li_000180,chk_00048,Chardonnay Glass,beverage,14,2,28,0,0,2026-03-02T14:09:00.000Z
li_000181,chk_00048,Lobster Tail,food,48,1,48,0,0,2026-03-02T14:12:00.000Z
li_000182,chk_00048,Filet Mignon,food,52,1,52,0,0,2026-03-02T14:15:00.000Z
li_000183,chk_00048,Pan-Seared Sea Bass,food,38,1,38,0,0,2026-03-02T14:18:00.000Z
li_000184,chk_00049,Mimosa,beverage,12,1,12,0,1,2026-01-18T07:13:00.000Z
li_000185,chk_00050,Braised Short Ribs,food,34,1,34,0,0,2026-01-05T09:44:00.000Z
li_000186,chk_00050,Cobb Salad,food,19,1,19,0,0,2026-01-05T09:47:00.000Z
li_000187,chk_00050,Chardonnay Glass,beverage,14,2,28,0,0,2026-01-05T09:50:00.000Z
li_000188,chk_00050,Iced Tea,beverage,4,2,8,0,0,2026-01-05T09:53:00.000Z
li_000189,chk_00050,Charcuterie Board,food,24,1,24,0,0,2026-01-05T09:56:00.000Z
li_000190,chk_00051,Sauvignon Blanc,beverage,13,2,26,0,0,2026-02-13T17:54:00.000Z
li_000191,chk_00051,Chardonnay Glass,beverage,14,1,14,0,0,2026-02-13T17:57:00.000Z
li_000192,chk_00051,Grilled Chicken,food,19,1,19,0,0,2026-02-13T18:00:00.000Z
li_000193,chk_00051,Cheese Pizza,food,16,1,16,0,0,2026-02-13T18:03:00.000Z
li_000194,chk_00051,Club Sandwich,food,18,1,18,0,0,2026-02-13T18:06:00.000Z
li_000195,chk_00051,Caesar Salad,food,16.5,1,16.5,0,0,2026-02-13T18:09:00.000Z
li_000196,chk_00052,Arnold Palmer,beverage,5,1,5,0,0,2026-01-31T19:25:00.000Z
li_000197,chk_00052,Braised Short Ribs,food,34,1,34,0,0,2026-01-31T19:28:00.000Z
li_000198,chk_00052,Coors Light Draft,beverage,7,2,14,0,0,2026-01-31T19:31:00.000Z
li_000199,chk_00053,Iced Tea,beverage,4,2,8,0,0,2025-12-18T12:35:00.000Z
li_000200,chk_00053,Modelo Draft,beverage,8,1,8,0,0,2025-12-18T12:38:00.000Z
li_000201,chk_00053,Wagyu Burger,food,21,1,21,0,0,2025-12-18T12:41:00.000Z
li_000202,chk_00053,Cheese Pizza,food,16,1,16,0,0,2025-12-18T12:44:00.000Z
li_000203,chk_00054,Modelo Draft,beverage,8,2,16,0,0,2026-02-26T14:45:00.000Z
li_000204,chk_00054,Gin and Tonic,beverage,12,1,12,0,0,2026-02-26T14:48:00.000Z
li_000205,chk_00054,Fish Tacos,food,20,1,20,0,0,2026-02-26T14:51:00.000Z
li_000206,chk_00054,Wagyu Burger,food,21,1,21,0,0,2026-02-26T14:54:00.000Z
li_000207,chk_00054,Sparkling Water,beverage,4,2,8,0,0,2026-02-26T14:57:00.000Z
li_000208,chk_00054,Cheese Pizza,food,16,1,16,0,0,2026-02-26T15:00:00.000Z
li_000209,chk_00055,Cabernet Glass,beverage,16,2,32,0,0,2026-02-13T17:54:00.000Z
li_000210,chk_00055,Club Sandwich,food,18,1,18,0,0,2026-02-13T17:57:00.000Z
li_000211,chk_00056,Espresso,beverage,5,2,10,0,1,2026-01-31T19:26:00.000Z
li_000212,chk_00056,Braised Short Ribs,food,34,1,34,0,0,2026-01-31T19:29:00.000Z
li_000213,chk_00056,Craft IPA Draft,beverage,9,1,9,0,0,2026-01-31T19:32:00.000Z
li_000214,chk_00057,Pinot Noir Glass,beverage,15,2,30,0,0,2025-12-18T12:35:00.000Z
li_000215,chk_00057,Fish Tacos,food,20,1,20,0,0,2025-12-18T12:38:00.000Z
li_000216,chk_00057,Club Sandwich,food,18,1,18,0,0,2025-12-18T12:41:00.000Z
li_000217,chk_00057,Coors Light Draft,beverage,7,1,7,0,0,2025-12-18T12:44:00.000Z
li_000218,chk_00057,Wedge Salad,food,14,1,14,0,0,2025-12-18T12:47:00.000Z
li_000219,chk_00057,Cappuccino,beverage,6,1,6,0,0,2025-12-18T12:50:00.000Z
li_000220,chk_00058,Club Sandwich,food,18,1,18,0,0,2026-02-26T14:07:00.000Z
li_000221,chk_00058,Braised Short Ribs,food,34,1,34,0,0,2026-02-26T14:10:00.000Z
li_000222,chk_00058,Michelob Ultra,beverage,7,2,14,0,0,2026-02-26T14:13:00.000Z
li_000223,chk_00058,Aperol Spritz,beverage,14,2,28,0,0,2026-02-26T14:16:00.000Z
li_000224,chk_00058,Fish Tacos,food,20,1,20,0,0,2026-02-26T14:19:00.000Z
li_000225,chk_00058,NY Strip Steak,food,45,1,45,0,0,2026-02-26T14:22:00.000Z
li_000226,chk_00059,Club Sandwich,food,18,1,18,0,0,2026-01-13T08:16:00.000Z
li_000227,chk_00059,Chardonnay Glass,beverage,14,2,28,0,0,2026-01-13T08:19:00.000Z
li_000228,chk_00059,Mimosa,beverage,12,2,24,0,0,2026-01-13T08:22:00.000Z
li_000229,chk_00059,Grilled Salmon,food,32,1,32,0,0,2026-01-13T08:25:00.000Z
li_000230,chk_00060,Mushroom Risotto,food,26,1,26,0,0,2025-12-31T10:48:00.000Z
li_000231,chk_00060,Lobster Tail,food,48,1,48,0,0,2025-12-31T10:51:00.000Z
li_000232,chk_00060,Charcuterie Board,food,24,1,24,0,0,2025-12-31T10:54:00.000Z
li_000233,chk_00060,Crab Cake,food,28,1,28,0,0,2025-12-31T10:57:00.000Z
li_000234,chk_00060,Cheese Pizza,food,16,1,16,0,0,2025-12-31T11:00:00.000Z
li_000235,chk_00061,Charcuterie Board,food,24,1,24,0,0,2026-02-09T17:57:00.000Z
li_000236,chk_00061,Gin and Tonic,beverage,12,1,12,0,0,2026-02-09T18:00:00.000Z
li_000237,chk_00062,Chardonnay Glass,beverage,14,2,28,0,0,2026-01-13T08:16:00.000Z
li_000238,chk_00062,Cabernet Glass,beverage,16,1,16,0,0,2026-01-13T08:19:00.000Z
li_000239,chk_00062,Espresso,beverage,5,1,5,0,0,2026-01-13T08:22:00.000Z
li_000240,chk_00062,Cobb Salad,food,19,1,19,0,0,2026-01-13T08:25:00.000Z
li_000241,chk_00063,Fish Tacos,food,20,1,20,0,0,2026-02-22T10:48:00.000Z
li_000242,chk_00063,NY Strip Steak,food,45,1,45,0,0,2026-02-22T10:51:00.000Z
li_000243,chk_00063,Hot Dog,food,9,1,9,0,0,2026-02-22T10:54:00.000Z
li_000244,chk_00063,Braised Short Ribs,food,34,1,34,0,0,2026-02-22T10:57:00.000Z
li_000245,chk_00063,Grilled Salmon,food,32,1,32,0,0,2026-02-22T11:00:00.000Z
li_000246,chk_00064,Filet Mignon,food,52,1,52,0,0,2026-02-09T17:57:00.000Z
li_000247,chk_00064,Pan-Seared Sea Bass,food,38,1,38,0,0,2026-02-09T18:00:00.000Z
li_000248,chk_00065,Cobb Salad,food,19,1,19,0,0,2026-01-26T20:29:00.000Z
li_000249,chk_00065,Cheese Pizza,food,16,1,16,0,0,2026-01-26T20:32:00.000Z
li_000250,chk_00065,Hot Dog,food,9,1,9,0,0,2026-01-26T20:35:00.000Z
li_000251,chk_00066,Wagyu Burger,food,21,1,21,0,0,2026-03-07T13:38:00.000Z
li_000252,chk_00066,Moscow Mule,beverage,13,2,26,0,0,2026-03-07T13:41:00.000Z
li_000253,chk_00066,Aperol Spritz,beverage,14,1,14,0,0,2026-03-07T13:44:00.000Z
li_000254,chk_00066,Grilled Chicken,food,19,1,19,0,0,2026-03-07T13:47:00.000Z
li_000255,chk_00066,Old Fashioned,beverage,15,1,15,1,0,2026-03-07T13:50:00.000Z
li_000256,chk_00066,Loaded Nachos,food,17,1,17,0,0,2026-03-07T13:53:00.000Z
li_000257,chk_00067,Whiskey Sour,beverage,14,1,14,0,0,2026-02-21T15:10:00.000Z
li_000258,chk_00068,Grilled Salmon,food,32,1,32,0,0,2026-01-09T08:19:00.000Z
li_000259,chk_00068,Margarita,beverage,14,2,28,0,1,2026-01-09T08:22:00.000Z
li_000260,chk_00068,Caesar Salad,food,16.5,1,16.5,0,0,2026-01-09T08:25:00.000Z
li_000261,chk_00068,Filet Mignon,food,52,1,52,0,0,2026-01-09T08:28:00.000Z
li_000262,chk_00069,Caprese Salad,food,15,1,15,0,0,2025-12-27T11:51:00.000Z
li_000263,chk_00069,Grilled Salmon,food,32,1,32,0,0,2025-12-27T11:54:00.000Z
li_000264,chk_00069,Crab Cake,food,28,1,28,0,0,2025-12-27T11:57:00.000Z
li_000265,chk_00069,Moscow Mule,beverage,13,2,26,0,0,2025-12-27T12:00:00.000Z
li_000266,chk_00069,French Onion Soup,food,12,1,12,0,0,2025-12-27T12:03:00.000Z
li_000267,chk_00070,Charcuterie Board,food,24,1,24,0,0,2026-02-04T19:00:00.000Z
li_000268,chk_00070,Hot Dog,food,9,1,9,0,0,2026-02-04T19:03:00.000Z
li_000269,chk_00071,Turkey Club,food,18,1,18,0,0,2026-01-22T20:32:00.000Z
li_000270,chk_00071,Moscow Mule,beverage,13,2,26,0,0,2026-01-22T20:35:00.000Z
li_000271,chk_00071,Iced Tea,beverage,4,2,8,0,0,2026-01-22T20:38:00.000Z
li_000272,chk_00072,Filet Mignon,food,52,1,52,0,0,2026-03-07T14:00:00.000Z
li_000273,chk_00072,Bloody Mary,beverage,14,1,14,0,0,2026-03-07T14:03:00.000Z
li_000274,chk_00072,Club Sandwich,food,18,1,18,0,0,2026-03-07T14:06:00.000Z
li_000275,chk_00072,Cobb Salad,food,19,1,19,1,0,2026-03-07T14:09:00.000Z
li_000276,chk_00072,Chicken Parmigiana,food,24,1,24,0,0,2026-03-07T14:12:00.000Z
li_000277,chk_00072,Tuna Tartare,food,22,1,22,0,0,2026-03-07T14:15:00.000Z
li_000278,chk_00073,Iced Tea,beverage,4,2,8,0,0,2026-01-22T20:10:00.000Z
li_000279,chk_00074,Shrimp Scampi,food,28,1,28,0,0,2026-01-09T08:41:00.000Z
li_000280,chk_00074,Cappuccino,beverage,6,1,6,0,0,2026-01-09T08:44:00.000Z
li_000281,chk_00074,Grilled Chicken,food,19,1,19,0,0,2026-01-09T08:47:00.000Z
