Payment ID,Chk#,Settlement Method,Amount,Settlement Time,Split
pay_000078,chk_00078,credit_card,208.72,2026-03-02 15:41:00,0
pay_000079,chk_00079,cash,41.44,2026-01-18 16:43:00,0
pay_000080,chk_00080,member_charge,76.27,2026-02-04 19:41:00,0
pay_000081,chk_00081,member_charge,190.91,2025-12-22 12:21:00,0
pay_000082,chk_00082,cash,217.17,2026-03-02 15:03:00,0
pay_000083,chk_00083,cash,119.14,2026-01-18 07:43:00,0
pay_000084,chk_00084,credit_card,155.17,2026-01-04 10:24:00,0
pay_000085,chk_00085,cash,182.16,2026-02-13 19:05:00,0
pay_000086,chk_00086,member_charge,84.81,2026-01-30 20:47:00,0
pay_000087,chk_00087,credit_card,146.91,2026-01-04 10:47:00,0
pay_000088,chk_00088,cash,51.87,2026-02-13 19:06:00,0
pay_000089,chk_00089,member_charge,88.78,2026-01-30 20:09:00,0
pay_000090,chk_00090,credit_card,202.92,2025-12-18 13:27:00,0
pay_000091,chk_00091,cash,228.73,2026-02-26 15:31:00,0
pay_000092,chk_00092,member_charge,131.81,2026-01-13 08:49:00,1
pay_000093,chk_00093,credit_card,145.39,2025-12-31 11:31:00,0
pay_000094,chk_00094,cash,61.99,2026-02-08 19:12:00,0
pay_000095,chk_00095,member_charge,80.38,2026-01-26 21:54:00,0
pay_000096,chk_00096,credit_card,198.84,2026-03-06 14:35:00,0
pay_000097,chk_00097,cash,228.73,2026-01-26 21:31:00,0
pay_000098,chk_00098,member_charge,131.81,2026-01-13 08:50:00,0
pay_000099,chk_00099,credit_card,145.39,2026-02-21 11:53:00,0
pay_000100,chk_00100,cash,61.99,2026-02-08 19:13:00,0
pay_000101,chk_00101,member_charge,81.7,2025-12-27 21:15:00,0
pay_000102,chk_00102,credit_card,198.84,2026-03-06 14:35:00,0
pay_000103,chk_00103,cash,31.08,2026-01-22 16:38:00,0
pay_000104,chk_00104,member_charge,143.55,2026-01-09 09:56:00,1
pay_000105,chk_00105,credit_card,156.68,2026-02-17 12:59:00,0
pay_000106,chk_00106,member_charge,159.88,2025-12-26 12:15:00,0
pay_000107,chk_00107,cash,198.84,2026-03-06 14:57:00,0
pay_000108,chk_00108,cash,31.08,2026-01-22 21:38:00,0
pay_000109,chk_00109,credit_card,143.55,2026-01-08 10:18:00,0
pay_000110,chk_00110,credit_card,156.68,2026-02-17 17:59:00,0
pay_000111,chk_00111,member_charge,73.95,2026-02-04 19:41:00,0
pay_000112,chk_00112,member_charge,112.14,2025-12-22 12:21:00,0
pay_000113,chk_00113,credit_card,41.42,2026-02-17 18:00:00,0
pay_000114,chk_00114,member_charge,77.59,2026-02-03 19:03:00,0
pay_000115,chk_00115,member_charge,192.24,2025-12-22 12:21:00,0
pay_000116,chk_00116,cash,218.45,2026-03-02 15:03:00,1
pay_000117,chk_00117,cash,120.44,2026-01-17 07:43:00,0
pay_000118,chk_00118,credit_card,148.16,2026-01-04 10:25:00,0
pay_000119,chk_00119,cash,120.44,2026-01-17 07:44:00,0
pay_000120,chk_00120,credit_card,148.16,2026-02-25 10:47:00,0
pay_000121,chk_00121,cash,51.87,2026-02-12 19:07:00,0
pay_000122,chk_00122,member_charge,88.78,2025-12-31 20:09:00,0
pay_000123,chk_00123,credit_card,204.26,2025-12-17 13:29:00,0
pay_000124,chk_00124,cash,230.02,2026-01-26 15:32:00,0
pay_000125,chk_00125,member_charge,131.81,2026-01-13 08:50:00,1
pay_000126,chk_00126,credit_card,146.64,2026-02-21 11:53:00,0
pay_000127,chk_00127,cash,63.25,2026-02-08 19:13:00,0
pay_000128,chk_00128,cash,204.26,2025-12-17 13:51:00,0
pay_000129,chk_00129,cash,230.02,2026-01-26 21:32:00,0
pay_000130,chk_00130,credit_card,133.11,2026-01-12 09:12:00,0
pay_000131,chk_00131,credit_card,146.64,2026-02-21 16:53:00,0
pay_000132,chk_00132,member_charge,63.25,2026-02-08 18:35:00,1
pay_000133,chk_00133,member_charge,81.7,2025-12-26 12:15:00,0
pay_000134,chk_00134,cash,200.07,2026-03-06 14:57:00,0
pay_000135,chk_00135,member_charge,67.07,2026-02-08 18:35:00,0
pay_000136,chk_00136,member_charge,171.2,2025-12-26 12:15:00,0
pay_000137,chk_00137,cash,206.55,2026-03-06 14:57:00,1
pay_000138,chk_00138,cash,110.08,2026-01-21 21:39:00,0
pay_000139,chk_00139,credit_card,138.2,2026-01-08 10:19:00,0
pay_000140,chk_00140,credit_card,41.42,2026-02-16 18:01:00,0
pay_000141,chk_00141,credit_card,138.2,2026-03-02 10:41:00,0
pay_000142,chk_00142,credit_card,41.42,2026-02-16 18:01:00,0
pay_000143,chk_00143,member_charge,77.59,2026-01-04 19:03:00,0
pay_000144,chk_00144,member_charge,193.58,2025-12-22 13:23:00,0
pay_000145,chk_00145,cash,219.74,2026-01-30 15:26:00,0
pay_000146,chk_00146,cash,120.44,2026-01-17 07:44:00,0
pay_000147,chk_00147,credit_card,148.16,2026-01-03 10:47:00,0
pay_000148,chk_00148,cash,53.13,2026-02-12 19:07:00,0
pay_000149,chk_00149,member_charge,90.1,2026-01-30 20:09:00,0
pay_000150,chk_00150,cash,219.74,2026-01-30 20:26:00,0
pay_000151,chk_00151,credit_card,121.73,2026-01-17 08:06:00,0
pay_000152,chk_00152,credit_card,149.4,2026-02-25 15:47:00,1
pay_000153,chk_00153,member_charge,53.13,2026-02-12 18:29:00,0
pay_000154,chk_00154,member_charge,90.1,2025-12-30 11:09:00,0
pay_000155,chk_00155,cash,205.59,2025-12-17 13:29:00,0
pay_000156,chk_00156,cash,231.3,2026-01-25 16:32:00,0
pay_000157,chk_00157,member_charge,133.11,2026-01-12 08:51:00,0
pay_000158,chk_00158,member_charge,161.6,2025-12-30 11:09:00,0
pay_000159,chk_00159,cash,194.81,2025-12-17 13:51:00,0
pay_000160,chk_00160,cash,88.95,2026-01-25 21:33:00,0
pay_000161,chk_00161,credit_card,127.21,2026-01-12 09:13:00,0
pay_000162,chk_00162,credit_card,17.38,2026-02-21 16:55:00,0
pay_000163,chk_00163,member_charge,67.07,2026-02-07 18:35:00,0
pay_000164,chk_00164,credit_card,31.38,2026-02-20 16:55:00,0
pay_000165,chk_00165,member_charge,67.07,2026-01-08 18:57:00,1
pay_000166,chk_00166,member_charge,181.53,2025-12-26 12:17:00,0
pay_000167,chk_00167,cash,207.83,2026-03-05 15:20:00,0
pay_000168,chk_00168,cash,110.08,2026-01-21 21:39:00,0
pay_000169,chk_00169,credit_card,138.2,2026-01-08 10:41:00,0
pay_000170,chk_00170,credit_card,42.67,2026-02-16 18:01:00,0
pay_000171,chk_00171,member_charge,78.9,2026-02-03 19:03:00,0
pay_000172,chk_00172,member_charge,193.58,2025-12-21 13:23:00,0
pay_000173,chk_00173,cash,219.74,2026-03-01 15:04:00,0
pay_000174,chk_00174,member_charge,111.37,2026-01-21 22:01:00,0
pay_000175,chk_00175,credit_card,139.44,2026-03-01 15:41:00,0
pay_000176,chk_00176,cash,42.67,2026-02-16 17:23:00,0
pay_000177,chk_00177,member_charge,78.9,2026-01-03 10:03:00,0
pay_000178,chk_00178,member_charge,194.91,2025-12-21 13:23:00,0
pay_000179,chk_00179,cash,221.02,2026-01-30 15:26:00,1
pay_000180,chk_00180,member_charge,121.73,2026-01-16 07:45:00,0
pay_000181,chk_00181,credit_card,149.4,2026-02-25 10:49:00,1
pay_000182,chk_00182,cash,184.69,2025-12-21 13:45:00,0
pay_000183,chk_00183,cash,71.38,2026-01-29 20:27:00,0
pay_000184,chk_00184,credit_card,126.83,2026-01-16 08:07:00,0
pay_000185,chk_00185,credit_card,211.1,2026-02-25 16:49:00,0
pay_000186,chk_00186,member_charge,54.4,2026-02-11 18:29:00,0
pay_000187,chk_00187,member_charge,73.43,2025-12-30 11:10:00,1
pay_000188,chk_00188,member_charge,56.12,2026-02-11 17:51:00,0
pay_000189,chk_00189,member_charge,162.93,2025-12-30 11:11:00,0
pay_000190,chk_00190,cash,197.63,2026-03-09 14:14:00,0
pay_000191,chk_00191,cash,98.95,2026-01-25 21:33:00,0
pay_000192,chk_00192,credit_card,127.21,2026-01-12 09:35:00,0
pay_000193,chk_00193,credit_card,32.63,2026-02-20 16:55:00,0
pay_000194,chk_00194,member_charge,68.38,2026-02-07 19:36:00,0
pay_000195,chk_00195,member_charge,181.53,2025-12-25 12:17:00,0
pay_000196,chk_00196,cash,207.83,2026-03-05 14:58:00,0
pay_000197,chk_00197,cash,111.37,2026-01-21 20:39:00,0
pay_000198,chk_00198,credit_card,128.44,2026-03-05 14:35:00,0
pay_000199,chk_00199,credit_card,32.63,2026-02-20 16:55:00,0
pay_000200,chk_00200,member_charge,68.38,2026-01-07 18:57:00,0
pay_000201,chk_00201,member_charge,182.85,2025-12-25 12:17:00,0
pay_000202,chk_00202,cash,209.1,2026-02-03 14:21:00,0
pay_000203,chk_00203,cash,111.37,2026-01-20 07:39:00,0
pay_000204,chk_00204,credit_card,139.44,2026-03-01 10:43:00,0
pay_000205,chk_00205,credit_card,43.93,2026-02-16 18:01:00,0
pay_000206,chk_00206,cash,76.5,2026-02-03 19:21:00,0
pay_000207,chk_00207,member_charge,111.37,2026-01-20 08:01:00,0
pay_000208,chk_00208,credit_card,139.44,2026-03-01 15:43:00,0
pay_000209,chk_00209,member_charge,43.93,2026-02-15 17:23:00,0
pay_000210,chk_00210,member_charge,80.22,2026-01-03 10:04:00,0
pay_000211,chk_00211,cash,194.91,2025-12-21 13:45:00,0
pay_000212,chk_00212,cash,206.31,2026-01-29 20:27:00,0
pay_000213,chk_00213,member_charge,152.12,2026-01-03 10:05:00,0
pay_000214,chk_00214,cash,185.96,2025-12-21 14:08:00,0
pay_000215,chk_00215,cash,79.67,2026-01-29 20:27:00,0
pay_000216,chk_00216,credit_card,117.33,2026-01-16 08:07:00,0
pay_000217,chk_00217,credit_card,22.41,2026-02-24 16:49:00,0
pay_000218,chk_00218,member_charge,57.42,2026-02-11 18:30:00,0
pay_000219,chk_00219,member_charge,162.93,2025-12-29 11:11:00,1
pay_000220,chk_00220,cash,197.63,2026-03-09 13:52:00,0
pay_000221,chk_00221,cash,100.23,2026-01-25 21:34:00,0
pay_000222,chk_00222,credit_card,128.44,2026-01-11 09:14:00,0
pay_000223,chk_00223,credit_card,22.41,2026-02-24 16:49:00,0
pay_000224,chk_00224,member_charge,57.42,2026-01-12 17:52:00,0
pay_000225,chk_00225,member_charge,164.25,2025-12-29 11:11:00,0
pay_000226,chk_00226,cash,198.9,2026-02-07 14:15:00,0
pay_000227,chk_00227,cash,100.23,2026-01-25 21:34:00,0
pay_000228,chk_00228,credit_card,128.44,2026-03-05 09:37:00,0
pay_000229,chk_00229,credit_card,33.89,2026-02-20 16:55:00,0
pay_000230,chk_00230,member_charge,69.7,2026-01-07 18:58:00,0
pay_000231,chk_00231,member_charge,182.85,2025-12-25 12:17:00,0
pay_000232,chk_00232,member_charge,100.23,2026-01-24 21:56:00,0
pay_000233,chk_00233,credit_card,128.44,2026-03-05 14:37:00,1
pay_000234,chk_00234,cash,33.89,2026-02-20 16:17:00,0
pay_000235,chk_00235,member_charge,69.7,2026-01-07 09:58:00,0
pay_000236,chk_00236,credit_card,182.85,2025-12-25 12:39:00,0
pay_000237,chk_00237,cash,209.1,2026-02-02 19:21:00,0
pay_000238,chk_00238,member_charge,112.67,2026-01-20 08:01:00,1
pay_000239,chk_00239,credit_card,174.45,2025-12-25 12:39:00,0
pay_000240,chk_00240,cash,77.78,2026-02-02 19:21:00,0
pay_000241,chk_00241,member_charge,116.15,2026-01-20 08:01:00,0
pay_000242,chk_00242,credit_card,207.39,2026-02-28 15:43:00,0
pay_000243,chk_00243,member_charge,46.98,2026-02-15 17:24:00,0
pay_000244,chk_00244,member_charge,152.12,2026-01-03 11:05:00,0
pay_000245,chk_00245,cash,185.96,2025-12-20 13:45:00,0
pay_000246,chk_00246,cash,64.95,2026-01-29 20:27:00,0
pay_000247,chk_00247,credit_card,118.56,2026-01-16 08:08:00,0
pay_000248,chk_00248,credit_card,9.41,2026-02-24 16:49:00,0
pay_000249,chk_00249,member_charge,46.98,2026-01-16 16:46:00,0
pay_000250,chk_00250,member_charge,153.43,2026-01-02 11:05:00,0
pay_000251,chk_00251,cash,187.22,2026-02-11 14:09:00,0
pay_000252,chk_00252,cash,80.95,2026-01-29 20:28:00,0
pay_000253,chk_00253,credit_card,118.56,2026-03-09 08:31:00,0
pay_000254,chk_00254,credit_card,23.66,2026-02-24 16:49:00,0
pay_000255,chk_00255,member_charge,58.73,2026-02-11 17:52:00,0
pay_000256,chk_00256,member_charge,164.25,2025-12-29 11:11:00,0
pay_000257,chk_00257,cash,198.9,2026-03-09 15:15:00,0
pay_000258,chk_00258,credit_card,118.56,2026-03-09 13:31:00,0
pay_000259,chk_00259,cash,23.66,2026-02-24 16:11:00,0
pay_000260,chk_00260,member_charge,58.73,2026-01-11 08:52:00,0
pay_000261,chk_00261,credit_card,164.25,2025-12-29 11:33:00,0
pay_000262,chk_00262,cash,198.9,2026-02-06 20:15:00,0
pay_000263,chk_00263,member_charge,101.52,2026-01-24 21:34:00,0
pay_000264,chk_00264,credit_card,129.68,2026-03-05 09:37:00,0
pay_000265,chk_00265,cash,67.58,2026-02-06 20:15:00,0
pay_000266,chk_00266,member_charge,104.68,2026-01-24 21:56:00,0
pay_000267,chk_00267,credit_card,203.78,2026-03-04 14:37:00,0
pay_000268,chk_00268,cash,36.26,2026-02-19 16:18:00,0
pay_000269,chk_00269,member_charge,148.6,2026-01-07 09:59:00,1
pay_000270,chk_00270,credit_card,174.45,2025-12-24 12:40:00,0
pay_000271,chk_00271,member_charge,148.6,2026-01-07 09:59:00,0
pay_000272,chk_00272,credit_card,177.1,2026-02-15 13:03:00,0
pay_000273,chk_00273,cash,79.05,2026-02-02 19:22:00,0
pay_000274,chk_00274,member_charge,117.48,2026-01-19 08:25:00,1
pay_000275,chk_00275,credit_card,208.63,2026-02-28 15:43:00,0
pay_000276,chk_00276,member_charge,48.29,2026-02-15 16:46:00,0
pay_000277,chk_00277,member_charge,153.43,2026-01-02 11:05:00,0
pay_000278,chk_00278,cash,187.22,2025-12-20 13:47:00,0
pay_000279,chk_00279,cash,82.24,2026-01-28 20:28:00,1
pay_000280,chk_00280,cash,208.63,2026-02-28 15:05:00,0
pay_000281,chk_00281,member_charge,48.29,2026-01-15 07:46:00,0
pay_000282,chk_00282,credit_card,153.43,2026-01-02 11:05:00,0
pay_000283,chk_00283,cash,187.22,2026-02-10 14:09:00,0
pay_000284,chk_00284,cash,82.24,2026-01-28 20:28:00,0
pay_000285,chk_00285,credit_card,119.8,2026-03-09 08:31:00,0
pay_000286,chk_00286,credit_card,23.66,2026-02-23 16:51:00,0
pay_000287,chk_00287,member_charge,58.73,2026-01-11 17:53:00,0
pay_000288,chk_00288,member_charge,76.08,2026-01-28 20:50:00,0
pay_000289,chk_00289,credit_card,193.9,2026-03-09 14:31:00,0
pay_000290,chk_00290,cash,25.7,2026-02-23 16:13:00,0
pay_000291,chk_00291,member_charge,137.03,2026-01-11 08:53:00,0
pay_000292,chk_00292,credit_card,165.58,2025-12-28 11:34:00,0
pay_000293,chk_00293,cash,200.18,2026-02-06 20:15:00,0
pay_000294,chk_00294,credit_card,150.41,2025-12-28 11:57:00,0
pay_000295,chk_00295,cash,68.85,2026-02-06 20:16:00,0
pay_000296,chk_00296,member_charge,106,2026-01-24 21:19:00,1
pay_000297,chk_00297,credit_card,203.78,2026-03-04 14:37:00,0
pay_000298,chk_00298,cash,37.56,2026-02-19 17:19:00,0
pay_000299,chk_00299,member_charge,149.91,2026-01-06 09:59:00,0
pay_000300,chk_00300,credit_card,177.1,2025-12-24 12:41:00,0
pay_000301,chk_00301,cash,80.33,2026-02-01 19:22:00,1
pay_000302,chk_00302,member_charge,118.82,2026-01-19 08:03:00,0
pay_000303,chk_00303,cash,37.56,2026-01-19 16:40:00,0
pay_000304,chk_00304,member_charge,149.91,2026-01-06 09:59:00,0
pay_000305,chk_00305,credit_card,177.1,2026-02-15 13:03:00,0
pay_000306,chk_00306,cash,80.33,2026-02-01 19:23:00,0
pay_000307,chk_00307,member_charge,118.82,2025-12-20 08:25:00,0
pay_000308,chk_00308,credit_card,208.63,2026-02-28 15:45:00,0
pay_000309,chk_00309,member_charge,48.29,2026-01-15 16:47:00,0
pay_000310,chk_00310,member_charge,154.75,2026-01-02 11:06:00,0
pay_000311,chk_00311,credit_card,198.92,2025-12-20 13:25:00,0
pay_000312,chk_00312,cash,209.88,2026-02-27 15:07:00,0
pay_000313,chk_00313,member_charge,49.59,2026-01-15 07:47:00,0
pay_000314,chk_00314,credit_card,154.75,2026-01-02 11:28:00,1
pay_000315,chk_00315,cash,188.49,2026-02-10 19:09:00,0
pay_000316,chk_00316,member_charge,83.52,2026-01-28 20:51:00,0
pay_000317,chk_00317,cash,58.19,2026-02-10 19:10:00,0
pay_000318,chk_00318,member_charge,76.4,2026-01-28 20:51:00,0
pay_000319,chk_00319,credit_card,193.9,2026-03-08 14:31:00,0
pay_000320,chk_00320,cash,25.7,2026-02-23 16:13:00,0
pay_000321,chk_00321,member_charge,138.33,2026-01-10 08:53:00,0
pay_000322,chk_00322,credit_card,151.66,2025-12-28 11:35:00,0
pay_000323,chk_00323,cash,68.85,2026-02-06 20:16:00,0
pay_000324,chk_00324,member_charge,108.14,2026-01-23 21:58:00,1
pay_000325,chk_00325,credit_card,205.01,2026-03-04 14:37:00,0
pay_000326,chk_00326,cash,37.56,2026-02-19 17:19:00,0
pay_000327,chk_00327,member_charge,138.33,2026-01-10 08:53:00,0
pay_000328,chk_00328,credit_card,151.66,2026-02-19 11:57:00,0
pay_000329,chk_00329,cash,70.13,2026-02-05 20:17:00,0
pay_000330,chk_00330,member_charge,108.14,2025-12-24 21:19:00,0
pay_000331,chk_00331,credit_card,205.01,2026-03-04 14:39:00,0
pay_000332,chk_00332,cash,37.56,2026-01-19 16:41:00,0
pay_000333,chk_00333,member_charge,151.23,2026-01-06 10:00:00,0
pay_000334,chk_00334,credit_card,178.37,2025-12-24 13:03:00,0
pay_000335,chk_00335,cash,206.25,2026-03-03 14:01:00,0
pay_000336,chk_00336,cash,38.85,2026-01-19 07:41:00,0
pay_000337,chk_00337,credit_card,151.23,2026-01-06 10:22:00,0
pay_000338,chk_00338,credit_card,178.37,2026-02-14 18:03:00,0
pay_000339,chk_00339,member_charge,81.6,2026-02-01 20:45:00,0
pay_000340,chk_00340,credit_card,120.15,2025-12-19 13:25:00,1
pay_000341,chk_00341,cash,209.88,2026-02-27 15:07:00,0
pay_000342,chk_00342,member_charge,84.16,2026-02-01 20:45:00,0
pay_000343,chk_00343,credit_card,198.92,2025-12-19 13:25:00,0
pay_000344,chk_00344,cash,224.88,2026-02-27 15:07:00,0
pay_000345,chk_00345,member_charge,127.89,2026-01-14 08:47:00,0
pay_000346,chk_00346,credit_card,141.38,2026-01-01 11:29:00,0
pay_000347,chk_00347,cash,58.19,2026-02-10 19:10:00,1
pay_000348,chk_00348,member_charge,76.4,2026-01-27 20:51:00,0
pay_000349,chk_00349,credit_card,195.13,2026-03-08 14:32:00,1
pay_000350,chk_00350,cash,27.2,2026-02-23 16:13:00,0
pay_000351,chk_00351,member_charge,138.33,2026-01-10 08:54:00,0
pay_000352,chk_00352,credit_card,141.38,2026-02-23 11:51:00,0
pay_000353,chk_00353,cash,59.46,2026-02-10 19:11:00,1
pay_000354,chk_00354,member_charge,77.73,2025-12-28 20:13:00,0
pay_000355,chk_00355,credit_card,195.13,2026-03-08 14:33:00,0
pay_000356,chk_00356,cash,27.2,2026-01-23 16:36:00,0
pay_000357,chk_00357,member_charge,139.64,2026-01-10 08:54:00,0
pay_000358,chk_00358,credit_card,152.92,2025-12-28 12:57:00,0
pay_000359,chk_00359,cash,70.13,2026-02-05 20:17:00,0
pay_000360,chk_00360,cash,28.49,2026-01-23 21:36:00,0
pay_000361,chk_00361,credit_card,139.64,2026-01-10 09:16:00,0
pay_000362,chk_00362,credit_card,152.92,2026-02-18 17:57:00,0
pay_000363,chk_00363,member_charge,71.4,2026-02-05 19:39:00,0
pay_000364,chk_00364,member_charge,109.47,2025-12-23 12:19:00,0
pay_000365,chk_00365,cash,206.25,2026-03-03 14:39:00,0
pay_000366,chk_00366,cash,38.85,2026-01-19 16:41:00,0
pay_000367,chk_00367,member_charge,188.24,2025-12-23 12:19:00,0
pay_000368,chk_00368,cash,212.93,2026-03-03 14:01:00,0
pay_000369,chk_00369,cash,116.55,2026-01-19 07:41:00,0
pay_000370,chk_00370,credit_card,144.42,2026-01-05 10:23:00,0
pay_000371,chk_00371,credit_card,48.07,2026-02-14 18:05:00,0
pay_000372,chk_00372,member_charge,84.16,2026-01-31 20:45:00,0
pay_000373,chk_00373,credit_card,200.25,2025-12-19 13:26:00,1
pay_000374,chk_00374,cash,219.12,2026-02-27 15:07:00,0
pay_000375,chk_00375,member_charge,50.9,2026-01-14 08:48:00,0
pay_000376,chk_00376,credit_card,156.06,2026-01-01 11:29:00,0
pay_000377,chk_00377,credit_card,49.34,2026-02-14 18:05:00,0
pay_000378,chk_00378,member_charge,85.48,2026-01-01 20:07:00,0
pay_000379,chk_00379,credit_card,200.25,2025-12-19 13:27:00,0
pay_000380,chk_00380,cash,226.16,2026-02-27 15:30:00,0
pay_000381,chk_00381,member_charge,129.2,2026-01-14 08:48:00,0
pay_000382,chk_00382,credit_card,143.88,2026-01-01 11:51:00,0
pay_000383,chk_00383,cash,59.46,2026-02-09 19:11:00,0
pay_000384,chk_00384,member_charge,77.73,2026-01-27 20:52:00,0
pay_000385,chk_00385,credit_card,196.37,2026-03-07 14:33:00,0
pay_000386,chk_00386,credit_card,129.2,2026-01-14 09:10:00,0
pay_000387,chk_00387,credit_card,143.88,2026-02-22 16:51:00,0
pay_000388,chk_00388,member_charge,60.72,2026-02-09 19:11:00,0
pay_000389,chk_00389,member_charge,79.05,2025-12-28 20:13:00,1
pay_000390,chk_00390,credit_card,196.37,2026-03-07 14:33:00,0
pay_000391,chk_00391,cash,28.49,2026-01-23 16:36:00,0
pay_000392,chk_00392,member_charge,140.94,2026-01-10 08:55:00,0
pay_000393,chk_00393,cash,202.73,2026-03-07 14:55:00,0
pay_000394,chk_00394,cash,106.19,2026-01-23 21:36:00,0
