Chk#,Sales Area,Member #,Open Time,Close Time,First Fire,Last Fulfilled,Net Amount,Tax,Gratuity,Comp,Discount,Void,Total Due,Settlement Method
chk_01400,outlet_grill,mbr_176,2026-02-28 14:41:00,2026-02-28 15:43:00,2026-02-28 14:46:00,2026-02-28 15:36:00,174,14.79,27.84,0,0,8,208.63,credit_card
chk_01435,outlet_bar_lounge,mbr_184,2026-02-01 19:23:00,2026-02-01 20:45:00,2026-02-01 19:32:00,2026-02-01 20:34:00,64,5.44,14.72,0,0,0,84.16,member_charge
chk_01517,outlet_grill,mbr_202,2026-03-06 08:37:00,2026-03-06 09:35:00,2026-03-06 08:48:00,2026-03-06 09:29:00,102,8.67,15.3,0,0,0,125.97,credit_card
chk_01562,outlet_bar_lounge,mbr_210,2026-02-03 18:59:00,2026-02-03 20:20:00,2026-02-03 19:14:00,2026-02-03 20:10:00,60,5.1,11.4,0,0,0,76.5,cash
chk_01600,outlet_bar_lounge,mbr_218,2026-02-06 18:57:00,2026-02-06 20:15:00,2026-02-06 19:05:00,2026-02-06 20:05:00,53,4.51,10.07,0,0,0,67.58,cash
chk_01633,outlet_bar_lounge,mbr_225,2026-02-10 17:54:00,2026-02-10 19:09:00,2026-02-10 18:02:00,2026-02-10 19:00:00,45,3.83,8.1,0,0,0,56.93,member_charge
chk_01684,outlet_bar_lounge,mbr_235,2026-02-01 19:01:00,2026-02-01 20:23:00,2026-02-01 19:06:00,2026-02-01 20:12:00,168,14.28,31.92,0,0,0,214.2,cash
chk_01724,outlet_bar_lounge,mbr_241,2026-02-22 15:46:00,2026-02-22 16:53:00,2026-02-22 15:52:00,2026-02-22 16:45:00,23,1.96,3.91,0,0,0,28.87,credit_card
chk_01728,outlet_grill,mbr_242,2026-03-07 13:36:00,2026-03-07 14:33:00,2026-03-07 13:47:00,2026-03-07 14:27:00,100,8.5,15,0,0,0,123.5,credit_card
chk_01729,outlet_bar_lounge,mbr_242,2026-02-22 15:08:00,2026-02-22 16:15:00,2026-02-22 15:14:00,2026-02-22 16:07:00,23,1.96,3.91,0,0,0,28.87,cash
chk_01756,outlet_bar_lounge,mbr_245,2026-02-21 15:46:00,2026-02-21 16:53:00,2026-02-21 15:52:00,2026-02-21 16:45:00,23,1.96,3.91,0,0,0,28.87,cash
chk_01759,outlet_grill,mbr_246,2026-03-07 13:37:00,2026-03-07 14:34:00,2026-03-07 13:48:00,2026-03-07 14:28:00,161,13.69,24.15,0,0,0,198.84,credit_card
chk_01848,outlet_grill,mbr_259,2026-03-05 13:59:00,2026-03-05 14:57:00,2026-03-05 14:14:00,2026-03-05 14:51:00,163,13.86,30.97,0,0,0,207.83,cash
chk_00043,outlet_bar_lounge,mbr_006,2026-02-17 16:11:00,2026-02-17 16:42:00,2026-02-17 16:18:00,2026-02-17 16:30:00,31,2.64,6.51,0,0,0,40.15,cash
chk_00078,outlet_grill,mbr_010,2026-03-02 14:40:00,2026-03-02 15:41:00,2026-03-02 14:45:00,2026-03-02 15:34:00,169,14.37,25.35,0,0,0,208.72,credit_card
chk_00080,outlet_bar_lounge,mbr_011,2026-02-04 18:21:00,2026-02-04 19:41:00,2026-02-04 18:29:00,2026-02-04 19:31:00,58,4.93,13.34,0,0,0,76.27,member_charge
chk_00081,outlet_grill,mbr_011,2025-12-22 11:30:00,2025-12-22 12:21:00,2025-12-22 11:40:00,2025-12-22 12:16:00,143,12.16,35.75,0,0,0,190.91,member_charge
chk_00082,outlet_grill,mbr_011,2026-03-02 14:02:00,2026-03-02 15:03:00,2026-03-02 14:07:00,2026-03-02 14:56:00,169,14.37,33.8,0,0,0,217.17,cash
chk_00085,outlet_bar_lounge,mbr_011,2026-02-13 17:52:00,2026-02-13 19:05:00,2026-02-13 18:06:00,2026-02-13 18:56:00,144,12.24,25.92,0,0,0,182.16,cash
chk_00088,outlet_bar_lounge,mbr_012,2026-02-13 17:52:00,2026-02-13 19:06:00,2026-02-13 17:59:00,2026-02-13 18:57:00,41,3.49,7.38,0,0,0,51.87,cash
chk_00090,outlet_grill,mbr_012,2025-12-18 12:33:00,2025-12-18 13:27:00,2025-12-18 12:48:00,2025-12-18 13:21:00,152,12.92,38,0,0,0,202.92,credit_card
chk_00091,outlet_bar_lounge,mbr_012,2026-02-26 14:05:00,2026-02-26 15:31:00,2026-02-26 14:11:00,2026-02-26 15:24:00,178,15.13,35.6,0,0,0,228.73,cash
chk_00115,outlet_grill,mbr_015,2025-12-22 11:30:00,2025-12-22 12:21:00,2025-12-22 11:40:00,2025-12-22 12:16:00,144,12.24,36,0,0,0,192.24,member_charge
chk_00116,outlet_grill,mbr_015,2026-03-02 14:02:00,2026-03-02 15:03:00,2026-03-02 14:07:00,2026-03-02 14:56:00,170,14.45,34,0,0,0,218.45,cash
chk_00121,outlet_bar_lounge,mbr_016,2026-02-12 17:53:00,2026-02-12 19:07:00,2026-02-12 18:00:00,2026-02-12 18:58:00,41,3.49,7.38,0,0,0,51.87,cash
chk_00122,outlet_main_dining,mbr_016,2025-12-31 19:24:00,2025-12-31 20:09:00,2025-12-31 19:33:00,2025-12-31 19:54:00,67,5.7,16.08,0,0,0,88.78,member_charge
chk_00123,outlet_grill,mbr_016,2025-12-17 12:34:00,2025-12-17 13:29:00,2025-12-17 12:49:00,2025-12-17 13:23:00,153,13.01,38.25,0,0,0,204.26,credit_card
chk_00126,outlet_grill,mbr_016,2026-02-21 10:46:00,2026-02-21 11:53:00,2026-02-21 10:59:00,2026-02-21 11:45:00,128,10.88,21.76,0,14,0,146.64,credit_card
chk_00127,outlet_bar_lounge,mbr_016,2026-02-08 17:56:00,2026-02-08 19:13:00,2026-02-08 18:04:00,2026-02-08 19:03:00,50,4.25,9,0,0,0,63.25,cash
chk_00128,outlet_grill,mbr_017,2025-12-17 12:56:00,2025-12-17 13:51:00,2025-12-17 13:11:00,2025-12-17 13:45:00,153,13.01,38.25,0,0,0,204.26,cash
chk_00131,outlet_bar_lounge,mbr_017,2026-02-21 15:46:00,2026-02-21 16:53:00,2026-02-21 15:59:00,2026-02-21 16:45:00,128,10.88,21.76,0,14,0,146.64,credit_card
chk_00159,outlet_grill,mbr_021,2025-12-17 12:56:00,2025-12-17 13:51:00,2025-12-17 13:11:00,2025-12-17 13:45:00,154,13.09,27.72,0,0,0,194.81,cash
chk_00162,outlet_bar_lounge,mbr_021,2026-02-21 15:47:00,2026-02-21 16:55:00,2026-02-21 16:00:00,2026-02-21 16:47:00,25,2.13,4.25,0,14,0,17.38,credit_card
chk_00163,outlet_bar_lounge,mbr_021,2026-02-07 17:18:00,2026-02-07 18:35:00,2026-02-07 17:26:00,2026-02-07 18:25:00,51,4.34,11.73,0,0,0,67.07,member_charge
chk_00164,outlet_bar_lounge,mbr_022,2026-02-20 15:47:00,2026-02-20 16:55:00,2026-02-20 15:53:00,2026-02-20 16:47:00,25,2.13,4.25,0,0,0,31.38,credit_card
chk_00166,outlet_grill,mbr_022,2025-12-26 11:28:00,2025-12-26 12:17:00,2025-12-26 11:42:00,2025-12-26 12:02:00,137,11.65,32.88,0,0,0,181.53,member_charge
chk_00167,outlet_grill,mbr_022,2026-03-05 13:59:00,2026-03-05 15:20:00,2026-03-05 14:14:00,2026-03-05 15:10:00,163,13.86,30.97,0,0,0,207.83,cash
chk_00171,outlet_bar_lounge,mbr_022,2026-02-03 18:21:00,2026-02-03 19:03:00,2026-02-03 18:30:00,2026-02-03 18:53:00,60,5.1,13.8,0,0,0,78.9,member_charge
chk_00193,outlet_bar_lounge,mbr_025,2026-02-20 15:47:00,2026-02-20 16:55:00,2026-02-20 16:00:00,2026-02-20 16:47:00,26,2.21,4.42,0,0,0,32.63,credit_card
chk_00194,outlet_bar_lounge,mbr_025,2026-02-07 18:18:00,2026-02-07 19:36:00,2026-02-07 18:26:00,2026-02-07 19:26:00,52,4.42,11.96,0,0,0,68.38,member_charge
chk_00195,outlet_grill,mbr_025,2025-12-25 11:28:00,2025-12-25 12:17:00,2025-12-25 11:38:00,2025-12-25 12:12:00,137,11.65,32.88,0,0,0,181.53,member_charge
chk_00196,outlet_grill,mbr_025,2026-03-05 13:59:00,2026-03-05 14:58:00,2026-03-05 14:04:00,2026-03-05 14:52:00,163,13.86,30.97,0,0,0,207.83,cash
chk_00199,outlet_bar_lounge,mbr_026,2026-02-20 15:47:00,2026-02-20 16:55:00,2026-02-20 15:53:00,2026-02-20 16:47:00,26,2.21,4.42,0,0,0,32.63,credit_card
chk_00201,outlet_grill,mbr_026,2025-12-25 11:28:00,2025-12-25 12:17:00,2025-12-25 11:42:00,2025-12-25 12:12:00,138,11.73,33.12,0,0,0,182.85,member_charge
chk_00202,outlet_grill,mbr_026,2026-02-03 13:00:00,2026-02-03 14:21:00,2026-02-03 13:05:00,2026-02-03 14:11:00,164,13.94,31.16,0,0,0,209.1,cash
chk_00204,outlet_main_dining,mbr_026,2026-03-01 09:41:00,2026-03-01 10:43:00,2026-03-01 09:53:00,2026-03-01 10:36:00,112,9.52,17.92,0,0,0,139.44,credit_card
chk_00205,outlet_bar_lounge,mbr_026,2026-02-16 16:50:00,2026-02-16 18:01:00,2026-02-16 16:57:00,2026-02-16 17:52:00,35,2.98,5.95,0,0,0,43.93,credit_card
chk_00048,outlet_grill,mbr_007,2026-03-02 14:01:00,2026-03-02 15:01:00,2026-03-02 14:06:00,2026-03-02 14:54:00,169,14.37,25.35,0,0,0,208.72,cash
chk_00243,outlet_bar_lounge,mbr_031,2026-02-15 16:12:00,2026-02-15 17:24:00,2026-02-15 16:19:00,2026-02-15 17:15:00,36,3.06,7.92,0,0,0,46.98,member_charge
chk_00245,outlet_grill,mbr_031,2025-12-20 12:53:00,2025-12-20 13:45:00,2025-12-20 13:07:00,2025-12-20 13:40:00,147,12.5,26.46,0,0,0,185.96,cash
chk_00251,outlet_grill,mbr_032,2026-02-11 12:54:00,2026-02-11 14:09:00,2026-02-11 13:08:00,2026-02-11 14:00:00,148,12.58,26.64,0,0,0,187.22,cash
chk_00276,outlet_bar_lounge,mbr_035,2026-02-15 16:13:00,2026-02-15 16:46:00,2026-02-15 16:20:00,2026-02-15 16:37:00,37,3.15,8.14,0,0,0,48.29,member_charge
chk_00280,outlet_grill,mbr_036,2026-02-28 14:03:00,2026-02-28 15:05:00,2026-02-28 14:08:00,2026-02-28 14:58:00,174,14.79,27.84,0,0,8,208.63,cash
chk_00283,outlet_bar_lounge,mbr_036,2026-02-10 12:54:00,2026-02-10 14:09:00,2026-02-10 13:08:00,2026-02-10 14:00:00,148,12.58,26.64,0,0,0,187.22,cash
chk_00285,outlet_main_dining,mbr_036,2026-03-09 07:35:00,2026-03-09 08:31:00,2026-03-09 07:46:00,2026-03-09 08:25:00,97,8.25,14.55,0,0,0,119.8,credit_card
chk_00286,outlet_bar_lounge,mbr_036,2026-02-23 15:45:00,2026-02-23 16:51:00,2026-02-23 15:51:00,2026-02-23 16:43:00,19,1.62,3.04,0,0,0,23.66,credit_card
chk_00289,outlet_grill,mbr_037,2026-03-09 13:35:00,2026-03-09 14:31:00,2026-03-09 13:46:00,2026-03-09 14:25:00,157,13.35,23.55,0,0,0,193.9,credit_card
chk_00290,outlet_bar_lounge,mbr_037,2026-02-23 15:07:00,2026-02-23 16:13:00,2026-02-23 15:13:00,2026-02-23 16:05:00,20,1.7,4,0,0,0,25.7,cash
chk_00317,outlet_bar_lounge,mbr_041,2026-02-10 17:54:00,2026-02-10 19:10:00,2026-02-10 18:09:00,2026-02-10 19:01:00,46,3.91,8.28,0,0,0,58.19,cash
chk_00319,outlet_grill,mbr_041,2026-03-08 13:35:00,2026-03-08 14:31:00,2026-03-08 13:46:00,2026-03-08 14:25:00,157,13.35,23.55,0,0,0,193.9,credit_card
chk_00320,outlet_bar_lounge,mbr_041,2026-02-23 15:07:00,2026-02-23 16:13:00,2026-02-23 15:13:00,2026-02-23 16:05:00,20,1.7,4,0,0,0,25.7,cash
chk_00322,outlet_grill,mbr_041,2025-12-28 10:48:00,2025-12-28 11:35:00,2025-12-28 11:01:00,2025-12-28 11:20:00,132,11.22,22.44,0,14,0,151.66,credit_card
chk_00323,outlet_bar_lounge,mbr_041,2026-02-06 18:57:00,2026-02-06 20:16:00,2026-02-06 19:12:00,2026-02-06 20:06:00,54,4.59,10.26,0,0,0,68.85,cash
chk_00325,outlet_grill,mbr_041,2026-03-04 13:38:00,2026-03-04 14:37:00,2026-03-04 13:50:00,2026-03-04 14:31:00,166,14.11,24.9,0,0,0,205.01,credit_card
chk_00326,outlet_bar_lounge,mbr_041,2026-02-19 16:10:00,2026-02-19 17:19:00,2026-02-19 16:16:00,2026-02-19 17:11:00,29,2.47,6.09,0,0,0,37.56,cash
chk_00329,outlet_bar_lounge,mbr_042,2026-02-05 18:58:00,2026-02-05 20:17:00,2026-02-05 19:06:00,2026-02-05 20:07:00,55,4.68,10.45,0,0,0,70.13,cash
chk_00330,outlet_main_dining,mbr_042,2025-12-24 20:29:00,2025-12-24 21:19:00,2025-12-24 20:39:00,2025-12-24 21:14:00,81,6.89,20.25,0,0,0,108.14,member_charge
chk_00331,outlet_grill,mbr_042,2026-03-04 13:39:00,2026-03-04 14:39:00,2026-03-04 13:44:00,2026-03-04 14:33:00,166,14.11,24.9,0,0,0,205.01,credit_card
chk_00358,outlet_grill,mbr_045,2025-12-28 11:48:00,2025-12-28 12:57:00,2025-12-28 12:01:00,2025-12-28 12:49:00,133,11.31,22.61,0,14,0,152.92,credit_card
chk_00359,outlet_bar_lounge,mbr_045,2026-02-05 18:58:00,2026-02-05 20:17:00,2026-02-05 19:06:00,2026-02-05 20:07:00,55,4.68,10.45,0,0,0,70.13,cash
chk_00362,outlet_bar_lounge,mbr_046,2026-02-18 16:48:00,2026-02-18 17:57:00,2026-02-18 17:01:00,2026-02-18 17:49:00,133,11.31,22.61,0,14,0,152.92,credit_card
chk_00363,outlet_bar_lounge,mbr_046,2026-02-05 18:20:00,2026-02-05 19:39:00,2026-02-05 18:28:00,2026-02-05 19:29:00,56,4.76,10.64,0,0,0,71.4,member_charge
chk_00364,outlet_grill,mbr_046,2025-12-23 11:29:00,2025-12-23 12:19:00,2025-12-23 11:39:00,2025-12-23 12:14:00,82,6.97,20.5,0,0,0,109.47,member_charge
chk_00367,outlet_grill,mbr_047,2025-12-23 11:29:00,2025-12-23 12:19:00,2025-12-23 11:39:00,2025-12-23 12:14:00,141,11.99,35.25,0,0,0,188.24,member_charge
chk_00368,outlet_grill,mbr_047,2026-03-03 13:01:00,2026-03-03 14:01:00,2026-03-03 13:06:00,2026-03-03 13:54:00,167,14.2,31.73,0,0,0,212.93,cash
chk_00371,outlet_bar_lounge,mbr_047,2026-02-14 16:52:00,2026-02-14 18:05:00,2026-02-14 17:06:00,2026-02-14 17:56:00,38,3.23,6.84,0,0,0,48.07,credit_card
chk_00400,outlet_grill,mbr_051,2025-12-23 11:30:00,2025-12-23 12:21:00,2025-12-23 11:44:00,2025-12-23 12:16:00,142,12.07,35.5,0,0,0,189.57,member_charge
chk_00401,outlet_grill,mbr_051,2026-03-03 14:01:00,2026-03-03 15:24:00,2026-03-03 14:06:00,2026-03-03 15:17:00,168,14.28,31.92,0,0,0,214.2,cash
chk_00404,outlet_bar_lounge,mbr_051,2026-02-13 16:52:00,2026-02-13 18:05:00,2026-02-13 17:06:00,2026-02-13 17:56:00,39,3.32,7.02,0,0,0,49.34,credit_card
chk_00406,outlet_grill,mbr_051,2025-12-19 12:33:00,2025-12-19 13:27:00,2025-12-19 12:44:00,2025-12-19 13:22:00,151,12.84,37.75,0,0,0,201.59,credit_card
chk_00275,outlet_grill,mbr_035,2026-02-28 14:41:00,2026-02-28 15:43:00,2026-02-28 14:46:00,2026-02-28 15:36:00,174,14.79,27.84,0,0,8,208.63,credit_card
chk_00365,outlet_grill,mbr_046,2026-03-03 13:39:00,2026-03-03 14:39:00,2026-03-03 13:44:00,2026-03-03 14:32:00,167,14.2,25.05,0,0,0,206.25,cash
chk_00411,outlet_grill,mbr_052,2025-12-18 12:33:00,2025-12-18 13:27:00,2025-12-18 12:48:00,2025-12-18 13:22:00,151,12.84,37.75,0,0,0,201.59,credit_card
chk_00441,outlet_grill,mbr_056,2025-12-18 12:55:00,2025-12-18 13:49:00,2025-12-18 13:10:00,2025-12-18 13:44:00,152,12.92,38,0,0,0,202.92,cash
chk_00443,outlet_grill,mbr_057,2025-12-18 12:55:00,2025-12-18 13:49:00,2025-12-18 13:10:00,2025-12-18 13:44:00,152,12.92,27.36,0,0,0,192.28,cash
chk_00446,outlet_bar_lounge,mbr_057,2026-02-22 15:46:00,2026-02-22 16:53:00,2026-02-22 15:59:00,2026-02-22 16:45:00,23,1.96,3.91,0,0,0,28.87,credit_card
chk_00447,outlet_bar_lounge,mbr_057,2026-02-08 17:17:00,2026-02-08 18:34:00,2026-02-08 17:25:00,2026-02-08 18:24:00,49,4.17,10.78,0,0,0,63.95,member_charge
chk_00448,outlet_grill,mbr_057,2025-12-27 11:27:00,2025-12-27 12:15:00,2025-12-27 11:37:00,2025-12-27 12:00:00,135,11.48,32.4,0,0,0,178.88,member_charge
chk_00449,outlet_grill,mbr_057,2026-03-07 13:58:00,2026-03-07 14:55:00,2026-03-07 14:13:00,2026-03-07 14:49:00,161,13.69,30.59,0,0,0,205.28,cash
chk_00474,outlet_bar_lounge,mbr_060,2026-02-12 17:14:00,2026-02-12 18:28:00,2026-02-12 17:21:00,2026-02-12 18:19:00,41,3.49,9.02,0,0,0,53.51,member_charge
chk_00475,outlet_grill,mbr_060,2025-12-31 10:24:00,2025-12-31 11:09:00,2025-12-31 10:33:00,2025-12-31 10:54:00,127,10.8,30.48,0,0,0,168.28,member_charge
chk_00476,outlet_grill,mbr_060,2025-12-18 12:55:00,2025-12-18 13:49:00,2025-12-18 13:10:00,2025-12-18 13:43:00,153,13.01,38.25,0,0,0,204.26,cash
chk_00479,outlet_bar_lounge,mbr_060,2026-02-21 15:46:00,2026-02-21 16:53:00,2026-02-21 15:59:00,2026-02-21 16:45:00,127,10.8,21.59,0,14,0,145.39,credit_card
chk_00480,outlet_bar_lounge,mbr_060,2026-02-08 17:18:00,2026-02-08 18:35:00,2026-02-08 17:26:00,2026-02-08 18:25:00,50,4.25,9,0,0,0,63.25,member_charge
chk_00481,outlet_grill,mbr_061,2025-12-31 10:24:00,2025-12-31 11:09:00,2025-12-31 10:37:00,2025-12-31 10:54:00,127,10.8,30.48,0,8,0,160.28,member_charge
chk_00482,outlet_grill,mbr_061,2025-12-17 12:56:00,2025-12-17 14:13:00,2025-12-17 13:11:00,2025-12-17 14:03:00,153,13.01,27.54,0,0,0,193.55,cash
chk_00485,outlet_bar_lounge,mbr_061,2026-02-21 15:46:00,2026-02-21 16:53:00,2026-02-21 15:52:00,2026-02-21 16:45:00,24,2.04,4.08,0,0,0,30.12,credit_card
chk_00486,outlet_bar_lounge,mbr_061,2026-02-08 17:18:00,2026-02-08 17:56:00,2026-02-08 17:26:00,2026-02-08 17:46:00,50,4.25,11,0,0,0,65.25,member_charge
chk_00487,outlet_bar_lounge,mbr_062,2026-02-21 15:08:00,2026-02-21 16:15:00,2026-02-21 15:14:00,2026-02-21 16:07:00,24,2.04,4.08,0,0,0,30.12,cash
chk_00489,outlet_grill,mbr_062,2025-12-26 11:27:00,2025-12-26 12:15:00,2025-12-26 11:41:00,2025-12-26 12:00:00,136,11.56,32.64,0,9,0,171.2,member_charge
chk_00490,outlet_grill,mbr_062,2026-02-04 13:59:00,2026-02-04 15:19:00,2026-02-04 14:14:00,2026-02-04 15:09:00,162,13.77,30.78,0,0,0,206.55,cash
chk_00519,outlet_grill,mbr_066,2026-03-01 14:40:00,2026-03-01 15:41:00,2026-03-01 14:52:00,2026-03-01 15:34:00,111,9.44,17.76,0,0,0,138.2,credit_card
