Registration ID,Event Number,Client Code,Status,Guest Count,Fee Paid,Registration Date,Check-In Time
reg_0065,evt_006,mbr_012,attended,3,24,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0066,evt_011,mbr_012,attended,3,16,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0067,evt_012,mbr_012,attended,3,28,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0068,evt_015,mbr_012,attended,0,44,2026-01-21 00:00:00,2026-02-01 10:00:00
reg_0069,evt_002,mbr_013,attended,3,16,2025-12-24 00:00:00,2025-12-30 10:00:00
reg_0070,evt_003,mbr_013,attended,3,28,2026-02-24 00:00:00,2026-03-04 10:00:00
reg_0071,evt_008,mbr_013,attended,3,20,2025-12-23 00:00:00,2025-12-29 10:00:00
reg_0072,evt_009,mbr_013,registered,0,32,2026-01-24 00:00:00,
reg_0073,evt_014,mbr_013,attended,3,24,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0074,evt_015,mbr_013,registered,0,36,2026-01-23 00:00:00,
reg_0075,evt_005,mbr_014,attended,3,24,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0076,evt_006,mbr_014,registered,0,37,2026-01-24 00:00:00,
reg_0077,evt_008,mbr_014,attended,2,13,2025-12-24 00:00:00,2025-12-29 10:00:00
reg_0078,evt_011,mbr_014,attended,3,28,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0079,evt_014,mbr_014,attended,3,17,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0080,evt_002,mbr_015,attended,3,29,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0081,evt_005,mbr_015,attended,3,17,2025-12-19 00:00:00,2025-12-30 10:00:00
reg_0082,evt_008,mbr_015,registered,0,33,2025-12-20 00:00:00,
reg_0083,evt_011,mbr_015,attended,3,21,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0084,evt_014,mbr_015,registered,0,37,2026-02-10 00:00:00,
reg_0085,evt_002,mbr_016,attended,0,48,2025-12-18 00:00:00,2025-12-30 10:00:00
reg_0086,evt_005,mbr_016,registered,0,37,2025-12-21 00:00:00,
reg_0087,evt_007,mbr_016,attended,2,13,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0088,evt_008,mbr_016,attended,1,25,2025-12-17 00:00:00,2025-12-29 10:00:00
reg_0089,evt_013,mbr_016,attended,3,17,2026-01-09 00:00:00,2026-01-15 10:00:00
reg_0090,evt_014,mbr_016,attended,3,29,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0091,evt_001,mbr_017,attended,3,29,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0092,evt_004,mbr_017,attended,3,17,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0093,evt_010,mbr_017,attended,3,21,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0094,evt_011,mbr_017,registered,1,61,2026-02-05 00:00:00,
reg_0095,evt_001,mbr_018,attended,3,21,2026-02-08 00:00:00,2026-02-15 10:00:00
reg_0096,evt_004,mbr_018,registered,0,37,2026-01-07 00:00:00,
reg_0097,evt_006,mbr_018,attended,2,13,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0098,evt_007,mbr_018,attended,3,25,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0099,evt_012,mbr_018,attended,3,17,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0100,evt_013,mbr_018,attended,3,29,2026-01-07 00:00:00,2026-01-15 10:00:00
reg_0101,evt_003,mbr_019,attended,3,17,2026-02-26 00:00:00,2026-03-04 10:00:00
reg_0102,evt_004,mbr_019,attended,3,29,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0103,evt_009,mbr_019,attended,3,21,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0104,evt_010,mbr_019,registered,0,33,2026-01-07 00:00:00,
reg_0105,evt_015,mbr_019,attended,3,25,2026-01-25 00:00:00,2026-02-01 10:00:00
reg_0106,evt_001,mbr_020,registered,0,33,2026-02-06 00:00:00,
reg_0107,evt_006,mbr_020,attended,3,25,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0108,evt_007,mbr_020,registered,0,37,2026-01-06 00:00:00,
reg_0109,evt_009,mbr_020,attended,3,13,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0110,evt_012,mbr_020,attended,3,29,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0111,evt_015,mbr_020,attended,3,17,2026-01-26 00:00:00,2026-02-01 10:00:00
reg_0112,evt_003,mbr_021,attended,3,29,2026-02-24 00:00:00,2026-03-04 10:00:00
reg_0113,evt_006,mbr_021,attended,3,17,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0114,evt_009,mbr_021,registered,0,33,2026-01-24 00:00:00,
reg_0115,evt_012,mbr_021,attended,3,21,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0116,evt_015,mbr_021,registered,0,37,2026-01-22 00:00:00,
reg_0117,evt_003,mbr_022,attended,0,49,2026-02-20 00:00:00,2026-03-04 10:00:00
reg_0118,evt_006,mbr_022,registered,0,37,2026-01-23 00:00:00,
reg_0119,evt_008,mbr_022,attended,3,13,2025-12-24 00:00:00,2025-12-29 10:00:00
reg_0120,evt_009,mbr_022,attended,3,25,2026-01-21 00:00:00,2026-02-02 10:00:00
reg_0121,evt_014,mbr_022,attended,3,17,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0122,evt_015,mbr_022,attended,3,29,2026-01-24 00:00:00,2026-02-01 10:00:00
reg_0123,evt_002,mbr_023,attended,3,29,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0124,evt_005,mbr_023,attended,3,17,2025-12-24 00:00:00,2025-12-30 10:00:00
reg_0125,evt_011,mbr_023,attended,3,21,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0126,evt_012,mbr_023,registered,1,61,2026-01-19 00:00:00,
reg_0127,evt_002,mbr_024,attended,3,22,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0128,evt_007,mbr_024,attended,3,13,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0129,evt_008,mbr_024,attended,3,25,2025-12-22 00:00:00,2025-12-29 10:00:00
reg_0130,evt_014,mbr_024,attended,3,29,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0131,evt_004,mbr_025,attended,3,17,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0132,evt_005,mbr_025,attended,3,30,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0133,evt_010,mbr_025,attended,3,21,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0134,evt_011,mbr_025,registered,0,34,2026-02-10 00:00:00,
reg_0135,evt_001,mbr_026,attended,3,22,2026-02-08 00:00:00,2026-02-15 10:00:00
reg_0136,evt_002,mbr_026,registered,0,34,2025-12-21 00:00:00,
reg_0137,evt_007,mbr_026,attended,3,26,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0138,evt_010,mbr_026,attended,3,14,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0139,evt_013,mbr_026,attended,3,30,2026-01-07 00:00:00,2026-01-15 10:00:00
reg_0140,evt_001,mbr_027,attended,0,14,2026-02-05 00:00:00,2026-02-15 10:00:00
reg_0141,evt_004,mbr_027,attended,3,30,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0142,evt_007,mbr_027,attended,3,18,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0143,evt_010,mbr_027,registered,0,34,2026-01-07 00:00:00,
reg_0144,evt_013,mbr_027,attended,3,22,2026-01-08 00:00:00,2026-01-15 10:00:00
reg_0145,evt_001,mbr_028,registered,0,34,2026-02-06 00:00:00,
reg_0146,evt_004,mbr_028,attended,0,50,2026-01-04 00:00:00,2026-01-16 10:00:00
reg_0147,evt_009,mbr_028,attended,3,14,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0148,evt_010,mbr_028,attended,3,26,2026-01-03 00:00:00,2026-01-16 10:00:00
reg_0149,evt_015,mbr_028,attended,3,18,2026-01-26 00:00:00,2026-02-01 10:00:00
reg_0150,evt_003,mbr_029,attended,3,30,2026-02-24 00:00:00,2026-03-04 10:00:00
reg_0151,evt_006,mbr_029,attended,3,18,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0152,evt_007,mbr_029,attended,1,58,2026-01-03 00:00:00,2026-01-16 10:00:00
reg_0153,evt_012,mbr_029,attended,3,22,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0154,evt_013,mbr_029,registered,1,34,2026-01-01 00:00:00,
reg_0155,evt_003,mbr_030,attended,3,22,2026-02-25 00:00:00,2026-03-04 10:00:00
reg_0156,evt_008,mbr_030,attended,3,14,2025-12-24 00:00:00,2025-12-29 10:00:00
reg_0157,evt_009,mbr_030,attended,3,26,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0158,evt_015,mbr_030,attended,3,30,2026-01-24 00:00:00,2026-02-01 10:00:00
reg_0159,evt_005,mbr_031,attended,3,18,2025-12-24 00:00:00,2025-12-30 10:00:00
reg_0160,evt_006,mbr_031,attended,3,30,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0161,evt_011,mbr_031,attended,3,22,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0162,evt_012,mbr_031,registered,0,34,2026-01-24 00:00:00,
reg_0163,evt_002,mbr_032,attended,3,22,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0164,evt_003,mbr_032,registered,0,34,2026-02-23 00:00:00,
reg_0165,evt_008,mbr_032,attended,3,26,2025-12-22 00:00:00,2025-12-29 10:00:00
reg_0166,evt_011,mbr_032,attended,3,14,2026-02-14 00:00:00,2026-02-19 10:00:00
reg_0167,evt_014,mbr_032,attended,3,30,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0168,evt_002,mbr_033,attended,0,14,2025-12-20 00:00:00,2025-12-30 10:00:00
reg_0169,evt_005,mbr_033,attended,3,30,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0170,evt_008,mbr_033,attended,3,18,2025-12-23 00:00:00,2025-12-29 10:00:00
reg_0171,evt_011,mbr_033,registered,0,34,2026-02-10 00:00:00,
reg_0172,evt_014,mbr_033,attended,3,22,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0173,evt_001,mbr_034,attended,3,22,2026-02-08 00:00:00,2026-02-15 10:00:00
reg_0174,evt_002,mbr_034,registered,0,34,2025-12-21 00:00:00,
reg_0175,evt_005,mbr_034,attended,0,50,2025-12-18 00:00:00,2025-12-30 10:00:00
reg_0176,evt_010,mbr_034,attended,3,14,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0177,evt_011,mbr_034,attended,3,27,2026-02-06 00:00:00,2026-02-19 10:00:00
reg_0178,evt_001,mbr_035,attended,3,15,2026-02-10 00:00:00,2026-02-15 10:00:00
reg_0179,evt_004,mbr_035,attended,3,30,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0180,evt_007,mbr_035,attended,3,19,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0181,evt_008,mbr_035,attended,1,58,2025-12-16 00:00:00,2025-12-29 10:00:00
reg_0182,evt_013,mbr_035,attended,3,23,2026-01-08 00:00:00,2026-01-15 10:00:00
reg_0183,evt_014,mbr_035,registered,1,35,2026-02-05 00:00:00,
reg_0184,evt_001,mbr_036,registered,0,35,2026-02-06 00:00:00,
reg_0185,evt_004,mbr_036,attended,3,23,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0186,evt_009,mbr_036,attended,3,15,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0187,evt_010,mbr_036,attended,3,27,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0188,evt_001,mbr_037,attended,3,27,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0189,evt_006,mbr_037,attended,3,19,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0190,evt_007,mbr_037,attended,3,31,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0191,evt_012,mbr_037,attended,3,23,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0192,evt_013,mbr_037,registered,0,35,2026-01-06 00:00:00,
reg_0193,evt_015,mbr_037,attended,2,11,2026-01-27 00:00:00,2026-02-01 10:00:00
reg_0194,evt_003,mbr_038,attended,3,23,2026-02-25 00:00:00,2026-03-04 10:00:00
reg_0195,evt_004,mbr_038,registered,0,35,2026-01-07 00:00:00,
reg_0196,evt_006,mbr_038,attended,2,11,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0197,evt_009,mbr_038,attended,3,27,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0198,evt_012,mbr_038,attended,3,15,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0199,evt_015,mbr_038,attended,3,31,2026-01-24 00:00:00,2026-02-01 10:00:00
reg_0200,evt_003,mbr_039,attended,0,15,2026-02-21 00:00:00,2026-03-04 10:00:00
reg_0201,evt_006,mbr_039,attended,3,31,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0202,evt_009,mbr_039,attended,3,19,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0203,evt_012,mbr_039,registered,0,35,2026-01-24 00:00:00,
reg_0204,evt_014,mbr_039,attended,2,11,2026-02-14 00:00:00,2026-02-19 10:00:00
reg_0205,evt_015,mbr_039,attended,3,23,2026-01-25 00:00:00,2026-02-01 10:00:00
reg_0206,evt_003,mbr_040,registered,0,35,2026-02-23 00:00:00,
reg_0207,evt_005,mbr_040,attended,2,11,2025-12-25 00:00:00,2025-12-30 10:00:00
reg_0208,evt_006,mbr_040,attended,1,51,2026-01-21 00:00:00,2026-02-02 10:00:00
reg_0209,evt_011,mbr_040,attended,3,15,2026-02-14 00:00:00,2026-02-19 10:00:00
reg_0210,evt_012,mbr_040,attended,3,27,2026-01-20 00:00:00,2026-02-02 10:00:00
reg_0211,evt_002,mbr_041,attended,3,15,2025-12-25 00:00:00,2025-12-30 10:00:00
reg_0212,evt_005,mbr_041,attended,3,31,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0213,evt_008,mbr_041,attended,3,19,2025-12-23 00:00:00,2025-12-29 10:00:00
reg_0214,evt_009,mbr_041,attended,1,59,2026-01-19 00:00:00,2026-02-02 10:00:00
reg_0215,evt_014,mbr_041,attended,3,23,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0216,evt_015,mbr_041,registered,1,35,2026-01-18 00:00:00,
reg_0217,evt_002,mbr_t03,registered,0,35,2025-12-21 00:00:00,
reg_0218,evt_004,mbr_t03,attended,2,11,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0219,evt_005,mbr_t03,attended,3,23,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0220,evt_010,mbr_t03,attended,3,15,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0221,evt_011,mbr_t03,attended,3,27,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0222,evt_014,mbr_t03,attended,0,43,2026-02-08 00:00:00,2026-02-19 10:00:00
reg_0223,evt_001,mbr_043,attended,3,15,2026-02-10 00:00:00,2026-02-15 10:00:00
reg_0224,evt_002,mbr_043,attended,3,27,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0225,evt_007,mbr_043,attended,3,19,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0226,evt_008,mbr_043,attended,3,31,2025-12-21 00:00:00,2025-12-29 10:00:00
reg_0227,evt_013,mbr_043,attended,3,23,2026-01-08 00:00:00,2026-01-15 10:00:00
reg_0228,evt_014,mbr_043,registered,0,35,2026-02-10 00:00:00,
reg_0229,evt_004,mbr_044,attended,3,23,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0230,evt_005,mbr_044,registered,0,36,2025-12-21 00:00:00,
reg_0231,evt_007,mbr_044,attended,2,12,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0232,evt_010,mbr_044,attended,3,27,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0233,evt_013,mbr_044,attended,3,16,2026-01-09 00:00:00,2026-01-15 10:00:00
reg_0234,evt_001,mbr_045,attended,3,28,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0235,evt_004,mbr_045,attended,0,16,2026-01-05 00:00:00,2026-01-16 10:00:00
reg_0236,evt_007,mbr_045,attended,3,32,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0237,evt_010,mbr_045,attended,3,20,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0238,evt_013,mbr_045,registered,0,36,2026-01-06 00:00:00,
reg_0239,evt_015,mbr_045,attended,2,12,2026-01-27 00:00:00,2026-02-01 10:00:00
reg_0240,evt_004,mbr_046,registered,0,36,2026-01-07 00:00:00,
reg_0241,evt_006,mbr_046,attended,2,12,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0242,evt_007,mbr_046,attended,1,52,2026-01-04 00:00:00,2026-01-16 10:00:00
reg_0243,evt_012,mbr_046,attended,3,16,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0244,evt_013,mbr_046,attended,3,28,2026-01-07 00:00:00,2026-01-15 10:00:00
reg_0245,evt_003,mbr_047,attended,3,16,2026-02-26 00:00:00,2026-03-04 10:00:00
reg_0246,evt_006,mbr_047,attended,3,32,2026-01-24 00:00:00,2026-02-02 10:00:00
reg_0247,evt_009,mbr_047,attended,3,20,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0248,evt_010,mbr_047,attended,1,60,2026-01-02 00:00:00,2026-01-16 10:00:00
reg_0249,evt_015,mbr_047,attended,3,24,2026-01-25 00:00:00,2026-02-01 10:00:00
reg_0250,evt_003,mbr_048,registered,0,36,2026-02-23 00:00:00,
reg_0251,evt_005,mbr_048,attended,2,12,2025-12-25 00:00:00,2025-12-30 10:00:00
reg_0252,evt_006,mbr_048,attended,3,24,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0253,evt_011,mbr_048,attended,3,16,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0254,evt_012,mbr_048,attended,3,28,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0255,evt_015,mbr_048,attended,0,44,2026-01-21 00:00:00,2026-02-01 10:00:00
reg_0256,evt_002,mbr_049,attended,3,16,2025-12-24 00:00:00,2025-12-30 10:00:00
reg_0257,evt_003,mbr_049,attended,3,28,2026-02-24 00:00:00,2026-03-04 10:00:00
reg_0258,evt_008,mbr_049,attended,3,20,2025-12-23 00:00:00,2025-12-29 10:00:00
reg_0259,evt_009,mbr_049,registered,0,32,2026-01-24 00:00:00,
reg_0260,evt_014,mbr_049,attended,3,24,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0261,evt_015,mbr_049,registered,0,36,2026-01-23 00:00:00,
reg_0262,evt_005,mbr_050,attended,3,24,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0263,evt_006,mbr_050,registered,0,36,2026-01-24 00:00:00,
reg_0264,evt_008,mbr_050,attended,2,12,2025-12-24 00:00:00,2025-12-29 10:00:00
reg_0265,evt_011,mbr_050,attended,3,28,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0266,evt_014,mbr_050,attended,3,16,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0267,evt_002,mbr_051,attended,3,28,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0268,evt_005,mbr_051,attended,3,16,2025-12-19 00:00:00,2025-12-30 10:00:00
reg_0269,evt_008,mbr_051,registered,0,32,2025-12-20 00:00:00,
reg_0270,evt_011,mbr_051,attended,3,20,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0271,evt_014,mbr_051,registered,0,36,2026-02-10 00:00:00,
reg_0272,evt_005,mbr_052,registered,0,36,2025-12-21 00:00:00,
reg_0273,evt_007,mbr_052,attended,2,12,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0274,evt_008,mbr_052,attended,1,24,2025-12-17 00:00:00,2025-12-29 10:00:00
reg_0275,evt_013,mbr_052,attended,3,16,2026-01-09 00:00:00,2026-01-15 10:00:00
reg_0276,evt_014,mbr_052,attended,3,28,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0277,evt_001,mbr_053,attended,3,28,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0278,evt_004,mbr_053,attended,3,16,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0279,evt_007,mbr_053,registered,0,32,2026-01-07 00:00:00,
reg_0280,evt_010,mbr_053,attended,3,20,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0281,evt_011,mbr_053,registered,1,60,2026-02-05 00:00:00,
reg_0282,evt_001,mbr_054,attended,3,21,2026-02-09 00:00:00,2026-02-15 10:00:00
reg_0283,evt_004,mbr_054,registered,0,36,2026-01-07 00:00:00,
reg_0284,evt_006,mbr_054,attended,2,12,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0285,evt_007,mbr_054,attended,3,25,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0286,evt_012,mbr_054,attended,3,16,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0287,evt_013,mbr_054,attended,3,29,2026-01-07 00:00:00,2026-01-15 10:00:00
reg_0288,evt_003,mbr_055,attended,3,17,2026-02-26 00:00:00,2026-03-04 10:00:00
reg_0289,evt_004,mbr_055,attended,3,29,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0290,evt_009,mbr_055,attended,3,21,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0291,evt_010,mbr_055,registered,0,33,2026-01-07 00:00:00,
reg_0292,evt_015,mbr_055,attended,3,25,2026-01-25 00:00:00,2026-02-01 10:00:00
